id,organization,country_code,country_name,postal_code,city,company_size_category,employees,economic_sector_EN,economic_sector_DE,number_of_balances,balance1_type_code,balance1_version,balance1_audit_type,balance1_valid_until_date,balance1_valid_until_year,balance1_year,balance1_score,balance1_documents,balance2_type_code,balance2_version,balance2_audit_type,balance2_valid_until_date,balance2_valid_until_year,balance2_year,balance2_score,balance2_documents,balance3_type_code,balance3_version,balance3_audit_type,balance3_valid_until_date,balance3_valid_until_year,balance3_year,balance3_score,balance3_documents,balance4_type_code,balance4_version,balance4_audit_type,balance4_valid_until_date,balance4_valid_until_year,balance4_year,balance4_score,balance4_documents,balance5_type_code,balance5_version,balance5_audit_type,balance5_valid_until_date,balance5_valid_until_year,balance5_year,balance5_score,balance5_documents,balance6_type_code,balance6_version,balance6_audit_type,balance6_valid_until_date,balance6_valid_until_year,balance6_year,balance6_score,balance6_documents,balance7_type_code,balance7_version,balance7_audit_type,balance7_valid_until_date,balance7_valid_until_year,balance7_year,balance7_score,balance7_documents,balance8_type_code,balance8_version,balance8_audit_type,balance8_valid_until_date,balance8_valid_until_year,balance8_year,balance8_score,balance8_documents
92475,Alter Consulta,ES,Spain,28014,Madrid,Micro (≤10),1-2,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92443,Altur coop,ES,Spain,03690,Sant Vicent del Raspeig,,,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14818,"Amann, Ulrike, Raum für Gemeinwesenentwicklung",AT,Austria,6713,Ludesch,Micro (≤10),1-2,Consulting,Beratung / Consulting,3.0,4.1,Standard,Desk,31-01-2018,2018.0,2016.0,405,Report+Attestation,M5.0,Compact,On site,31-07-2020,2020.0,2018.0,489.0,Report+Attestation,M5.0,Compact,Peer,31-05-2023,2023.0,2021.0,437.0,Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91614,AMC Luxembourg,LU,Luxembourg,7521,Mersch,Small (≤50),11-25,Finance,Finanzen,1.0,M5.0,Compact,On site,31-12-2024,2024.0,2022.0,229,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14819,AmVieh-Theater,DE,Germany,33824,Werther (Westfalen),Micro (≤10),3-10,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1.0,M5.0,Compact,Peer,30-03-2021,2021.0,2019.0,702,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14772,ananjo informatiker,DE,Germany,63165,mühlheim am main,Micro (≤10),3-10,EDP / IT,EDV / IT,2.0,4.1,Standard,Peer,,,,,Report,M5.0,Compact,Desk,31-12-2021,2021.0,2019.0,290.0,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29214,"Andrea Aldosser, Ganzheitliche Personal- und Organisationsentwicklung",AT,Austria,6361,Hopfgartn,Micro (≤10),1-2,Consulting,Beratung / Consulting,1.0,M5.0,Compact,Desk,30-04-2023,2023.0,2021.0,320,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30925,Andreas Heilmann Gartengestaltung,DE,Germany,83349,Palling,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1.0,M5.0,Compact,Peer,31-07-2019,2019.0,2017.0,415,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92507,Angaraveca,ES,Spain,28013,Madrid,Micro (≤10),1-2,Other,Sonstige,1.0,M5.0,Full,On site,24-05-2018,2018.0,2016.0,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92457,Animación y logística cultural S.L.U.,ES,Spain,46017,Valencia,,,Other,Sonstige,2.0,M5.0,Full,On site,20-10-2020,2020.0,2018.0,348,,M5.0,Full,Peer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37702,ANJA HAIDER-WALLNER/ SMILEVEDA,AT,Austria,7000,Eisenstadt,Micro (≤10),1-2,Consulting,Beratung / Consulting,2.0,4.0,Standard,Peer,31-12-2015,2015.0,2013.0,480,Report+Certificate,4.1,Standard,Desk,30-11-2018,2018.0,2016.0,568.0,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79370,Anne Berg – Bewusster Wandel,DE,Germany,53227,Bonn,Micro (≤10),1-2,Consulting,Beratung / Consulting,1.0,M5.0,Compact,Peer,31-07-2024,2024.0,2022.0,509,Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126462,Annemarie Bink und Fiona Brinker GbR,DE,Germany,27568,Bremerhaven,Micro (≤10),1-2,Trade / Consumption,Handel / Konsum,1.0,M5.0,Full,Peer,31-07-2025,2025.0,2023.0,305,Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82864,ANWANDER (Anwander GmbH & Co. KG / Anwander-Waldmann GmbH & Co. KG),DE,Germany,87477,Sulzberg,Small (≤50),26-50,Construction / Architecture,Baugewerbe / Architektur,1.0,M5.0,Full,Peer,31-07-2024,2024.0,2022.0,257,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92455,Aplicaciones Industriales Valencianas S.L.,ES,Spain,46130,Massamagrell,,,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14820,Apotheke am Goetheplatz,DE,Germany,31582,Nienburg/Weser,Micro (≤10),3-10,Pharma,Medizin / Pharma,1.0,M5.0,Compact,Peer,30-10-2020,2020.0,2018.0,577,Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14821,ARBA-BIOPLAN Genossenschaft,CH,Switzerland,8400,Winterthur,Micro (≤10),3-10,Construction / Architecture,Baugewerbe / Architektur,1.0,M5.0,Compact,Peer,31-07-2020,2020.0,2018.0,728,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14884,Arbatherm,CH,Switzerland,8408,Winterthur,Micro (≤10),3-10,Electrical / Electronics,Elektro / Elektronik,1.0,M5.0,Compact,Peer,30-04-2020,2020.0,2018.0,482,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14822,arbeit plus Salzburg,AT,Austria,5020,Salzburg,Micro (≤10),1-2,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege,1.0,M5.0,Compact,Peer,30-03-2021,2021.0,2019.0,482,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92371,Arca de Babel S.L,ES,Spain,38004,Santa Cruz de Tenerife,,,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14737,Architekturbüro Mießl GmbH,DE,Germany,86529,Schrobenhausen Sandzell,Micro (≤10),3-10,Construction / Architecture,Baugewerbe / Architektur,1.0,M5.0,Full,Peer,30-09-2022,2022.0,2020.0,278,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44670,ARGEkultur gemeinnützige GmbH,AT,Austria,5020,Salzburg,Small (≤50),11-25,Art / Culture / Entertainment,Kunst / Kultur / Unterhaltung,1.0,4.1,Standard,Peer,06-09-2018,2018.0,2016.0,521,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37707,Armin Hipper – Büro für Nachhaltigkeit & Wirtschaftsethik,DE,Germany,88099,Neukirch (Bodenseekreis),Micro (≤10),1-2,Consulting,Beratung / Consulting,2.0,4.1,Standard,Desk,24-03-2016,2016.0,2014.0,262,Report+Attestation,4.1,Standard,Desk,30-06-2018,2018.0,2016.0,463.0,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14966,Armin Schmelzle,AT,Austria,5161,Elixhausen,Micro (≤10),1-2,Consulting,Beratung / Consulting,2.0,4.1,Standard,Desk,30-11-2017,2017.0,2015.0,382,Report+Attestation,M5.0,Compact,Peer,31-01-2022,2022.0,2020.0,464.0,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127521,Armin Schmelzle Entwicklungsberatung,AT,Austria,5161,Elixhausen,Micro (≤10),1-2,Consulting,Beratung / Consulting,1.0,M5.0,Compact,Peer,31-07-2025,2025.0,2023.0,468,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124478,ars scribendi,DE,Germany,30177,Hannover,Micro (≤10),1-2,Services,Dienstleistung,1.0,M5.0,Compact,Peer,31-08-2025,2025.0,2023.0,245,Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80265,Artist MesseService und -Bau GmbH & Co. KG,DE,Germany,33104,Paderborn,Small (≤50),11-25,Craft,Handwerk,1.0,M5.0,Compact,Peer,31-12-2024,2024.0,2022.0,584,Report+Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92489,ArtMarketing SL,ES,Spain,28224,Pozuelo del Alarcón,Micro (≤10),1-2,Other,Sonstige,2.0,M5.0,Full,On site,16-12-2015,2015.0,2013.0,625,,M5.0,Full,On site,25-05-2018,2018.0,2016.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109043,ASC Göttingen von 1846 e.V.,DE,Germany,37083,Göttingen,Mid (≤250),51-100,Associations / Societies,Vereine,1.0,M5.0,Compact,Peer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92391,Asociación Traperos de Emaús Murcia,ES,Spain,30002,Murcia,,,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92413,Astrotouristing,ES,Spain,38400,Puerto de la Cruz,,,Other,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67207,Atelier Marianna,AT,Austria,9900,Lienz,Micro (≤10),3-10,Craft,Handwerk,2.0,M5.0,Compact,Desk,31-10-2020,2020.0,2018.0,517,Report+Attestation,M5.0,Compact,Desk,31-05-2024,2024.0,2022.0,497.0,Report+Attestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135370,Atlantic Hotel Sail City GmbH,DE,Germany,28789,Bremerhaven,Mid (≤250),101-250,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1.0,M5.0,Full,Peer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145404,audit.innovation GmbH Wirtschaftsprüfungsgesellschaft,DE,Germany,70182,Deutschland,Micro (≤10),1-2,Finance,Finanzen,1.0,M5.0,Compact,Peer,30-11-2025,2025.0,2023.0,200,Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
