id,organization,organization_link,country_code,country_name,postal_code,city,company_size_category,employees,economic_sector_EN,economic_sector_DE,number_of_balances_org_table,balance_scores
93957,"Alpenland Gemeinnützige Bau-, Wohn- und Siedlungsgenossenschaft reg.Gen.m.b.H.",https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=wofj2,AT,Austria,3100,St. Pölten,Mid (≤250),51-100,Real Estate / Facility Management,Immobilien / Facility Management,1,{'30-11-2024': 444}
139397,Alpha IC GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=rgfx9,DE,Germany,96047,Bamberg,Mid (≤250),51-100,Real Estate / Facility Management,Immobilien / Facility Management,1,{'30-11-2025': 338}
14818,"Amann, Ulrike, Raum für Gemeinwesenentwicklung",https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=4pvzw,AT,Austria,6713,Ludesch,Micro (≤10),1-2,Consulting,Beratung / Consulting,3,"{'31-01-2018': 405, '31-07-2020': 489, '31-05-2023': 437}"
91614,AMC Luxembourg,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=709cf,LU,Luxembourg,7521,Mersch,Small (≤50),11-25,Finance,Finanzen,1,{'31-12-2024': 229}
14819,AmVieh-Theater,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=n11c4,DE,Germany,33824,Werther (Westfalen),Micro (≤10),3-10,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1,{'30-03-2021': 702}
14772,ananjo informatiker,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=9sm8d,DE,Germany,63165,mühlheim am main,Micro (≤10),3-10,EDP / IT,EDV / IT,2,{'31-12-2021': 290}
29214,"Andrea Aldosser, Ganzheitliche Personal- und Organisationsentwicklung",https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=hggub,AT,Austria,6361,Hopfgartn,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'30-04-2023': 320}
30925,Andreas Heilmann Gartengestaltung,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=bex4a,DE,Germany,83349,Palling,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-07-2019': 415}
92507,Angaraveca,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=e7ozf,ES,Spain,28013,Madrid,Micro (≤10),1-2,Other,Sonstige,1,{'24-05-2018': 840}
92457,Animación y logística cultural S.L.U.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=mtwcv,ES,Spain,46017,Valencia,,,Other,Sonstige,2,{'20-10-2020': 348}
37702,ANJA HAIDER-WALLNER/ SMILEVEDA,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=n04xj,AT,Austria,7000,Eisenstadt,Micro (≤10),1-2,Consulting,Beratung / Consulting,2,"{'31-12-2015': 480, '30-11-2018': 568}"
79370,Anne Berg – Bewusster Wandel,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=npt5o,DE,Germany,53227,Bonn,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-07-2024': 509}
126462,Annemarie Bink und Fiona Brinker GbR,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=3c0ai,DE,Germany,27568,Bremerhaven,Micro (≤10),1-2,Trade / Consumption,Handel / Konsum,1,{'31-07-2025': 305}
82864,ANWANDER (Anwander GmbH & Co. KG / Anwander-Waldmann GmbH & Co. KG),https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=pbgd8,DE,Germany,87477,Sulzberg,Small (≤50),26-50,Construction / Architecture,Baugewerbe / Architektur,1,{'31-07-2024': 257}
14820,Apotheke am Goetheplatz,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=3qi4h,DE,Germany,31582,Nienburg/Weser,Micro (≤10),3-10,Pharma,Medizin / Pharma,1,{'30-10-2020': 577}
14821,ARBA-BIOPLAN Genossenschaft,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=uo8hd,CH,Switzerland,8400,Winterthur,Micro (≤10),3-10,Construction / Architecture,Baugewerbe / Architektur,1,{'31-07-2020': 728}
