id,organization,organization_link,country_code,country_name,postal_code,city,company_size_category,employees,economic_sector_EN,economic_sector_DE,number_of_balances_org_table,balance_scores
14671,Druckerei Zollenspieker,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=y7mvj,DE,Germany,21073,Hamburg,Micro (≤10),3-10,Printing / Paper / Packaging,Druck / Papier / Verpackung,2,"{'30-04-2017': 607, '31-05-2021': 590}"
38094,dwp eG Fairhandelsgenossenschaft Ravensburg,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=xh6ga,DE,Germany,88212,Ravensburg,Small (≤50),11-25,Trade / Consumption,Handel / Konsum,1,{'31-12-2015': 674}
37391,DYAS Beratungsges. mbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=312vb,DE,Germany,22955,Hoisdorf,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-07-2023': 418}
14906,Dynamic Governance Führung und Ethik in der Unternehmensentwicklung Petra Ostfeld,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=tkn61,DE,Germany,28357,Bremen,Micro (≤10),3-10,Consulting,Beratung / Consulting,1,{'31-12-2020': 424}
46802,e-fect dialog evaluation consulting eG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=hoocq,DE,Germany,10437,Berlin,Micro (≤10),3-10,Consulting,Beratung / Consulting,2,"{'30-06-2019': 616, '31-01-2024': 556}"
15795,EarthWays,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=naqwt,BE,Belgium,3010,Kessel-Lo,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-07-2022': 382}
27428,Easy Mobil GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=2v6v8,IT,Italy,39040,Kastelruth,Micro (≤10),1-2,Transport / Logistics,Verkehr / Transport / Logistik,1,{'31-01-2023': 244}
93999,easyconsult GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=4zba6,AT,Austria,1070,Wien,Small (≤50),11-25,EDP / IT,EDV / IT,1,{'30-06-2025': 193}
14936,easySoft. GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=9c777,DE,Germany,72555,Metzingen,Mid (≤250),51-100,Other,Sonstige,1,{'31-03-2022': 442}
132123,eb24-einfach mehr Service,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=gd4ls,DE,Germany,44309,Dortmund,Micro (≤10),3-10,Services,Dienstleistung,1,{'25-10-2025': 257}
50170,ECB-Beratung GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=kajgg,DE,Germany,16348,Wandlitz,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'30-04-2024': 179}
14672,ECG Ecotopia,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=yi3tc,SE,Sweden,27392,Tomelilla,Micro (≤10),1-2,Services,Dienstleistung,1,
36666,echoholos,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=mgrso,CH,Switzerland,8268,Salenstein,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-05-2017': 390}
83988,EcoEmbassy,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=vynfj,DE,Germany,85053,Ingolstadt,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-08-2024': 217}
14792,Ecofit Biofruchtimport GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=xpurk,DE,Germany,70188,Stuttgart,Small (≤50),11-25,Trade / Consumption,Handel / Konsum,1,{'30-11-2021': 349}
14802,Ecosia GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=xzdx8,DE,Germany,12047,Berlin,Small (≤50),26-50,Internet / Multimedia,Internet / Multimedia,1,{'31-10-2021': 775}
80267,Edition Progris,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=merru,DE,Germany,12437,Berlin,Micro (≤10),1-2,Other,Sonstige,1,{'31-12-2024': 488}
14845,Ego Elektrikergenossenschaft,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=m8q85,CH,Switzerland,8408,Winterthur,Micro (≤10),3-10,Electrical / Electronics,Elektro / Elektronik,1,
14846,Eigenbetrieb Leben und Wohnen der Landeshauptstadt Stuttgart (ELW),https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=w0b26,DE,Germany,70565,Stuttgart-Vaihingen,Large (>250),>250,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege,1,{'30-12-2019': 408}
14926,Eigenbetrieb Stadtentwässerung Mannheim (EBS Mannheim),https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=mg3f9,DE,Germany,68167,Mannheim,Mid (≤250),101-250,Other,Sonstige,1,
44813,Eissalon Franz Leonardelli KG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=wrbll,AT,Austria,1210,Wien,Micro (≤10),3-10,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,2,"{'30-06-2014': 360, '30-04-2024': 367}"
14847,EL PUENTE GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=xgb2o,DE,Germany,31171,Nordstemmen,Small (≤50),26-50,Trade / Consumption,Handel / Konsum,1,{'30-09-2019': 836}
130850,Elbers Hof GmbH & Co.KG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ycuta,DE,Germany,29559,Wrestedt,Small (≤50),26-50,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-07-2025': 535}
131810,Elektrizitätswerk Hindelang e.G.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=8ydvw,DE,Germany,87541,Bad Hindelang,Small (≤50),11-25,Energy,Energiewirtschaft,1,
14714,elfgen pick gmbh & co. kg,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=b6m52,DE,Germany,86152,Augsburg,Micro (≤10),3-10,Media,Medien,2,"{'31-07-2022': 319, '31-07-2025': 286}"
38374,ELVG Bentlage GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=zjd98,AT,Austria,1140,Wien,Small (≤50),11-25,Craft,Handwerk,1,{'30-11-2017': 394}
14849,EM-Chiemgau- Christoph Fischer GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=slqnk,DE,Germany,83071,Stephanskirchen/Högering,Small (≤50),11-25,Trade / Consumption,Handel / Konsum,3,"{'30-10-2020': 639, '31-03-2023': 555, '31-12-2025': 583}"
14850,EM-faktor GmbH – die social profit agentur,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ri8bn,DE,Germany,70173,Stuttgart,Small (≤50),11-25,Consulting,Beratung / Consulting,2,"{'31-12-2016': 369, '30-09-2020': 470}"
30132,"embedded linux devices, EXD",https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ged8d,AT,Austria,2630,TERNITZ,Micro (≤10),1-2,EDP / IT,EDV / IT,1,{'31-10-2016': 609}
14851,Engel und Brotzge og einfachmoebel,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=a4nf4,AT,Austria,6971,Hard,Micro (≤10),3-10,Construction / Architecture,Baugewerbe / Architektur,2,"{'30-04-2020': 549, '10-12-2023': 377}"
36671,Engineer M.E. Ing. Markus Eisner,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ery2a,AT,Austria,4030,Linz,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-03-2016': 318}
85120,ensian Group GmbH |  elobau GmbH & Co KG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=dpsws,DE,Germany,88299,Leutkirch im Allgäu,Large (>250),>250,Electrical / Electronics,Elektro / Elektronik,4,"{'30-09-2018': 449, '30-06-2020': 449, '31-01-2023': 602, '31-12-2024': 610}"
41022,Entwicklung Gemeinwohl Kunst,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ir46v,CH,Switzerland,8400,Winterthur,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-01-2024': 385}
55981,Ernährungs-Vitalstoffberatung Lydia Zahn,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=hmcod,DE,Germany,86899,Landsberg am Lech,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'21-12-2023': 306}
91279,ESN Deutsche Tischtennis Technologie GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=o35f4,DE,Germany,97461,Hofheim in Unterfranken,Mid (≤250),101-250,Chemistry,Chemie,1,{'31-12-2024': 218}
92517,Ética patrimonios S.L.U.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=3sswv,ES,Spain,46003,Valencia,Micro (≤10),1-2,Other,Sonstige,1,{'30-10-2019': 625}
40974,ETTL-SOFTWARE GMBH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=at511,AT,Austria,4020,Linz,Micro (≤10),3-10,EDP / IT,EDV / IT,1,{'30-12-2013': 595}
46971,Ev. Jugendhilfe Bochum e.V.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=5drlj,DE,Germany,44809,Bochum,Small (≤50),11-25,Education / University / Polytechnic / Schools,Bildung / Universität / FH / Schulen,1,{'31-10-2023': 435}
46969,Ev. Jugendhilfe Geltow e.V.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=dfxhc,DE,Germany,14548,Schwielowsee,Small (≤50),26-50,Education / University / Polytechnic / Schools,Bildung / Universität / FH / Schulen,1,{'31-10-2023': 379}
46988,Ev. Jugendhilfe Schweicheln,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=lxb39,DE,Germany,32120,Hiddenhausen,Small (≤50),11-25,Education / University / Polytechnic / Schools,Bildung / Universität / FH / Schulen,1,{'31-10-2023': 442}
24525,Eva Dornauer,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=b6si5,AT,Austria,6020,Innsbruck,Micro (≤10),1-2,Consulting,Beratung / Consulting,2,"{'15-09-2016': 533, '10-12-2023': 451}"
44955,EVA STEIGER NATURGESTALTUNGEN,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=m57fg,AT,Austria,7000,Eisenstadt,Micro (≤10),1-2,Trade / Consumption,Handel / Konsum,1,{'30-12-2015': 526}
39034,Evang. Kirchengemeinde Rosphetal-Mellnau,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=vorno,DE,Germany,35083,Wetter-Oberrosphe,Micro (≤10),1-2,Other,Sonstige,1,{'31-08-2023': 421}
139341,Evangelische Kirchengemeinden Griesheim und Nied,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=scikg,DE,Germany,65934,Frankfurt,Mid (≤250),101-250,Other,Sonstige,1,{'31-12-2025': 381}
22420,Evangelisches Johannesstift Jugendhilfe gGmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=h9zdv,DE,Germany,13587,Berlin,Large (>250),>250,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege,1,{'28-02-2023': 370}
83967,Evelyn Peppler,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ql3dp,DE,Germany,91056,Erlangen,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-08-2024': 365}
139401,Existenzgründerzentrum Ingolstadt GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=8p9o2,DE,Germany,85055,Ingolstadt,Micro (≤10),3-10,Consulting,Beratung / Consulting,1,{'30-11-2025': 48}
113857,Experts & Talents Center of HR Excellence GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=upa84,DE,Germany,04107,Leipzig,Small (≤50),11-25,Consulting,Beratung / Consulting,1,{'31-07-2025': 257}
37700,EZ-Akademie | Vitale Menschen Unternehmen Gemeinden (Verein),https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=37b2,AT,Austria,3072,Kasten bei Böheimkirchen,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-05-2017': 462}
14852,F & P Stock Solution GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=7hr7,DE,Germany,14612,Falkensee,Small (≤50),26-50,Trade / Consumption,Handel / Konsum,1,
131651,Fachhochschule Dortmund,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=gsrfi,DE,Germany,44139,Dortmund,Large (>250),501-1000,Education / University / Polytechnic / Schools,Bildung / Universität / FH / Schulen,1,{'31-01-2026': 422}
14805,Fahnen-Gärtner GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=rudk8,AT,Austria,5730,Mittersill,Mid (≤250),51-100,,,2,"{'31-12-2021': 450, '31-05-2024': 453}"
44753,Fair Handels GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=4o8xq,AT,Austria,6020,Innsbruck,Micro (≤10),3-10,Trade / Consumption,Handel / Konsum,1,{'15-09-2016': 630}
96971,fair:möbeln,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=nifg,DE,Germany,83334,Inzell,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-12-2024': 326}
14953,fairagent Int. FAI UG (haftungsbeschränkt),https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=jxrcx,DE,Germany,13086,Berlin,Micro (≤10),1-2,Real Estate / Facility Management,Immobilien / Facility Management,1,{'30-09-2022': 202}
14726,Fairmittler Stefan Gmeiner e.U.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=6oktl,AT,Austria,6861,Alberschwende,Micro (≤10),1-2,Printing / Paper / Packaging,Druck / Papier / Verpackung,1,{'31-05-2021': 303}
38098,Fairmondo eG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=gzanu,DE,Germany,10999,Berlin,Small (≤50),11-25,Trade / Consumption,Handel / Konsum,1,{'30-11-2016': 648}
30139,Familienferienanlage Gut Nisdorf GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=yag3n,DE,Germany,18445,Nisdorf,Micro (≤10),3-10,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1,{'30-05-2019': 541}
14742,Farbenmühle mcdrent GmbH & Co.KG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=yvhq4,DE,Germany,45468,Mülheim,Micro (≤10),3-10,Construction / Architecture,Baugewerbe / Architektur,1,
35296,"FARCAP Faire Mode gGmbH, Fürth",https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=um4i0,DE,Germany,90762,Fürth,,,Textile,Textilbranche,2,"{'30-06-2023': 625, '30-09-2025': 647}"
45948,Fastenopfer,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=mv6zg,CH,Switzerland,6002,Luzern,Small (≤50),26-50,Other,Sonstige,1,{'31-10-2023': 544}
90744,Faunt,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=j09ud,DE,Germany,50823,Köln,Micro (≤10),1-2,Trade / Consumption,Handel / Konsum,1,
135620,FC St. Pauli von 1910 e.V.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ez1lg,DE,Germany,20359,Hamburg,Large (>250),251-500,Associations / Societies,Vereine,1,{'31-12-2025': 527}
133339,Feelera Srl società benefit,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=i5w0j,IT,Italy,25122,Brescia,Micro (≤10),3-10,EDP / IT,EDV / IT,1,{'16-06-2024': 194}
111111,Fegerl Consulting Studio Salzburg,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=q2ct,AT,Austria,5102,Anthering,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'28-02-2025': 299}
37740,Felix Oesch – Beratungen Gallusberg GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=jycic,CH,Switzerland,9402,Mörschwil,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-03-2016': 439}
44755,Ferienhof Möller,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=xhufx,DE,Germany,24632,Lentföhrden,Micro (≤10),1-2,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1,{'30-04-2017': 504}
29723,FH Burgenland,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=1vshr,AT,Austria,7000,Eisenstadt,Mid (≤250),51-100,Education / University / Polytechnic / Schools,Bildung / Universität / FH / Schulen,2,"{'16-06-2016': 440, '31-05-2019': 473}"
14804,FIBUR GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=qz2o9,DE,Germany,10117,Berlin,Micro (≤10),3-10,Insurance,Versicherung,1,{'31-10-2021': 498}
110257,Flipped Job Market,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=xqqli,DK,Denmark,10997,Berlin,Micro (≤10),1-2,Services,Dienstleistung,1,{'31-03-2025': 430}
47495,Flores Farm GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=dy4h,DE,Germany,70180,Stuttgart,,,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'29-02-2024': 585}
101017,Flotte Karotte,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=gzhup,DE,Germany,44866,Bochumg,Small (≤50),26-50,Trade / Consumption,Handel / Konsum,1,{'08-12-2024': 402}
124386,Flower Factory,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=96s1u,DE,Germany,10555,Berlin,Micro (≤10),3-10,Trade / Consumption,Handel / Konsum,1,{'31-08-2025': 253}
14815,FnF Mannheimer Gesellschaft zur Förderung von Arbeitsplätzen,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=viu1m,DE,Germany,68159,Mannheim,Small (≤50),26-50,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1,
14776,focus-energie,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=zhb2g,DE,Germany,79104,Freiburg,Micro (≤10),3-10,Craft,Handwerk,1,{'31-12-2020': 644}
14901,Fohlenhof Astner,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=87iro,AT,Austria,9782,Nikolsdorf,Micro (≤10),1-2,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,2,"{'31-10-2020': 441, '31-10-2023': 463}"
92495,Folgado,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=rqr8z,ES,Spain,46017,Valencia,Micro (≤10),1-2,Other,Sonstige,1,{'20-10-2022': 547}
23225,followfood GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=x88ek,DE,Germany,88045,Friedrichshafen,Small (≤50),26-50,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-08-2023': 719}
72957,FONDAZIONE MIRAFIORI,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=tdlfk,IT,Italy,10127,Torino,Micro (≤10),3-10,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege,1,{'29-07-2023': 540}
14998,Forst Baden-Württemberg (ForstBW),https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=5gf9f,DE,Germany,72074,Tübingen – Bebenhausen,Large (>250),>250,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,2,"{'31-08-2022': 577, '31-12-2024': 609}"
84747,forStory GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=ckpyq,DE,Germany,81539,München,Micro (≤10),3-10,Media,Medien,1,{'31-07-2024': 344}
36697,FORUM BERUFSBILDUNG MÜNCHEN KARL THIESSEN,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=fblmj,DE,Germany,83527,Haag i. OB,Small (≤50),11-25,Consulting,Beratung / Consulting,2,"{'31-12-2013': 418, '31-12-2014': 494}"
14801,Forum Futura UG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=8bbak,DE,Germany,10405,Berlin,Micro (≤10),3-10,Seminar / Fair Provider,Seminar- / Messeanbieter,1,{'31-10-2021': 477}
14834,Foto Flausen,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=vwhv8,AT,Austria,5020,Salzburg,Micro (≤10),1-2,Services,Dienstleistung,1,{'30-03-2021': 393}
143258,FOX & FOX OG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=bsbt4,AT,Austria,3231,St. Margarethen an der Sierning,Micro (≤10),1-2,Marketing / Avertising / PR,Marketing / Werbung / PR,1,{'31-10-2025': 151}
127813,Fraktion BÜNDNIS 90/DIE GRÜNEN im Bayerischen Landtag,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=mlgr4,DE,Germany,81675,München,Mid (≤250),51-100,Other,Sonstige,1,{'31-10-2025': 270}
25435,framtid GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=pgfvf,DE,Germany,22299,Hamburg,Micro (≤10),3-10,Insurance,Versicherung,1,{'30-04-2023': 512}
33071,Freiburg Institut,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=p9wse,DE,Germany,79106,Freiburg,Micro (≤10),3-10,Consulting,Beratung / Consulting,1,{'31-05-2023': 610}
35657,Freilich Unverpackt – Stefanie Grömmer & Martin Kensy Gbr,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=vce68,DE,Germany,87509,Immenstadt,Micro (≤10),3-10,Trade / Consumption,Handel / Konsum,1,{'31-07-2023': 410}
14835,Frobenius-Foisner-Holzeis Steuerberatung GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=svu7v,DE,Germany,83435,Bad Reichenhall,Micro (≤10),3-10,Fiscal Advice / Auditing,Steuerberatung / Wirtschaftsprüfung,1,{'30-10-2020': 258}
25018,Fugger Reisen KG d. Volgger Werner & Co.,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=aul5,IT,Italy,39049,Sterzing,Micro (≤10),3-10,Transport / Logistics,Verkehr / Transport / Logistik,1,{'21-12-2022': 263}
14975,Führen mit… Urte Töpfer,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=huk1n,DE,Germany,10827,Berlin,Micro (≤10),1-2,Consulting,Beratung / Consulting,3,"{'30-10-2019': 451, '31-05-2022': 438, '28-09-2025': 412}"
92499,Fundación Horta Sud,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=moxpb,ES,Spain,46900,Torrent,Micro (≤10),1-2,Other,Sonstige,1,{'21-03-2017': 685}
72941,Fundraiserperpassione srl sb,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=8imc3,IT,Italy,3454,ggrreg,Micro (≤10),3-10,Seminar / Fair Provider,Seminar- / Messeanbieter,1,{'29-07-2023': 478}
133266,Fundraiserperpassione srl sb,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=9r6s2,IT,Italy,36030,Caldogno (VI),Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'01-06-2025': 467}
35678,Füssen Tourismus und Marketing,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=v9b8c,DE,Germany,87629,Füssen,Small (≤50),26-50,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1,{'31-07-2023': 265}
143130,Futour,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=4evm8,DE,Germany,22850,Norderstedt,Micro (≤10),1-2,Tourism / Hotel / Catering,Tourismus / Hotel / Gastronomie,1,{'31-12-2025': 213}
87410,GAB Gesellschaft für Arbeits- und Berufsförderung gGmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=tizhx,DE,Germany,33607,Bielefeld,Small (≤50),26-50,Health / Social Affairs / Nursing,Gesundheitswesen / Soziales / Pflege,1,{'31-08-2024': 271}
36711,Gaby Belz GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=hon6r,CH,Switzerland,8032,Zürich,Micro (≤10),1-2,Consulting,Beratung / Consulting,1,{'31-03-2017': 486}
14994,Gandler Risk Management,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=d7ni2,AT,Austria,5730,Mittersill,Small (≤50),11-25,Insurance,Versicherung,2,{'31-10-2021': 446}
33062,Gardion UG,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=b8loh,DE,Germany,79098,Freiburg,Micro (≤10),3-10,EDP / IT,EDV / IT,1,{'31-05-2023': 360}
41039,GartenLeben GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=huq9x,DE,Germany,91161,Hilpoltstein,Micro (≤10),3-10,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'31-12-2015': 589}
44820,GÄRTNEREI LÖWENZAHN,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=drt96,DE,Germany,86934,Reichling,Micro (≤10),1-2,Nutrition / Agriculture / Forestry,Nahrungsmittel / Land /  Forstwirtschaft,1,{'30-06-2015': 651}
14813,GBG – Mannheimer Wohnungsbaugesellschaft mbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=eyish,DE,Germany,68167,Mannheim,Mid (≤250),101-250,Real Estate / Facility Management,Immobilien / Facility Management,1,
29166,Gebäudeservice Wodara GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=jhybf,DE,Germany,12681,Berlin,Mid (≤250),51-100,Services,Dienstleistung,2,{'30-06-2023': 300}
14863,Gebhard Moser,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=7u1fw,AT,Austria,6713,Ludesch,Micro (≤10),1-2,Consulting,Beratung / Consulting,4,"{'30-11-2014': 267, '31-01-2018': 403, '30-04-2020': 418, '31-05-2023': 409}"
29892,GefAA TELECONSULT UG (haftungsbeschränkt),https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=n4l9x,DE,Germany,12489,Berlin,Micro (≤10),1-2,Consulting,Beratung / Consulting,2,"{'31-12-2017': 247, '31-08-2020': 322}"
14904,Gemeinde Kirchanschöring,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=eud0p,DE,Germany,83417,Kirchanschöring,Micro (≤10),3-10,Public Administration,Öffentliche Verwaltung,1,{'31-10-2020': 588}
14928,Gemeinde Mäder,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=6xyfw,AT,Austria,6841,Mäder,Small (≤50),26-50,Public Administration,Öffentliche Verwaltung,2,"{'31-08-2019': 487, '31-01-2022': 567}"
29889,Gemeinde Nenzing,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=el1yv,AT,Austria,6710,Nenzing,Mid (≤250),51-100,Public Administration,Öffentliche Verwaltung,1,{'31-08-2019': 425}
30096,Gemeindeverband für Abfallwirtschaft und Umweltschutz – Umweltverband,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=el3gy,AT,Austria,6850,Dornbirn,Micro (≤10),3-10,Public Administration,Öffentliche Verwaltung,1,
78957,GEMEINHARDT SERVICE GmbH,https://audit.ecogood.org/firmenauskunft-2/?lang=de&qrfkey=y463o,DE,Germany,04741,Roßwein,Small (≤50),26-50,Construction / Architecture,Baugewerbe / Architektur,2,"{'31-10-2022': 377, '31-12-2024': 375}"
